test,PK-1173,AS-ASHUK,MA-646,VALVE POSITIONER,19,19,725,13775
test,PK-1174,AS-ASHUK,MA-646,VALVE POSITIONER,15.5,15.3,725,11092.5
test,PK-1175,AS-ASHUK,MA-646,VALVE POSITIONER,15,15.2,725,11020
test,PK-1176,ALIM,JTI/RANA AHSAN,POOL LIGHT,15.5,15.35,740,11359
test,PK-1177,ALIM,JTI/RANA AHSAN,POOL LIGHT,15.5,15.35,740,11359
test,PK-1178,ALIM,JTI/RANA AHSAN,POOL LIGHT,15.5,15.35,740,11359
test,PK-1179,ALAMGIR,ALAMGIR,UNDERPANTS,51,51.4,950,48830
test,PK-1179B,ALAMGIR,ALAMGIR,UNDERPANTS,57.5,57.4,950,54530
test,PK-1180,ALAMGIR,ALAMGIR,UNDERPANTS,55.5,55.7,950,52915
test,PK-1180B,ALAMGIR,ALAMGIR,UNDERPANTS,55.5,55.4,950,52630
test,PK-1181,ALAMGIR,ALAMGIR,UNDERPANTS,51,51.4,950,48830
test,PK-1181B,ALAMGIR,ALAMGIR,UNDERPANTS,55.5,55.5,950,52725
test,PK-1182,HM-SUVO,KM(MANNAN),TRANISTOR,21.5,21.4,740,15836
test,PK-1183,AS-ASHUK,MA-229,RECTIFIER/ROTOR,10.1,10.3,725,7467.5
test,PK-1184,SHOHEB,PRODIP/SHOYEB,MOSFET,30.5,30.6,750,22950
test,PK-1185,SHOHEB,PRODIP/SHOYEB,OPTICAL COUPLER,6.5,6.7,750,5025
test,PK-1186,DEAR BD,DEAR BD 4999,PROTECTIVE CASE,5.5,5.25,750,3937.5
test,PK-1187,DEAR BD,DEAR BD 5153,DOOR PLUG,5,5.1,750,3825
test,PK-1188,DEAR BD,DEAR BD 5138,BAG,3,3,750,2250
test,PK-1189,DEAR BD,DEAR BD 5105,ONLINE GOODS-16,5.5,5.4,750,4050
test,PK-1190,DEAR BD,DEAR BD 5140,BAG,6,6.1,750,4575
test,PK-1191,DEAR BD,DEAR BD 5101,ICE BAG,15,15,750,11250
test,PK-1192,MISSION,MISSION/HAMZA,CAR PARTS,4.5,4.65,740,3441
test,PK-1193,MAHMUDUL HASAN,MAHMUDUL/SIKDER,THERMAL LABEL PRINTER,17.5,17.55,740,12987
test,PK-1194,MAHMUDUL HASAN,MAHMUDUL/SIKDER,THERMAL LABEL PRINTER,17.5,17.6,740,13024
test,PK-1195,MAHMUDUL HASAN,MAHMUDUL/SIKDER,THERMAL LABEL PRINTER,17.5,17.55,740,12987
test,PK-1196,DEAR BD,DEAR BD 5074,BATH TOWEL,15.5,15.2,750,11400
test,PK-1197,AS-ASHUK,MA-279,BLOOD SAMPLER,14,13.9,725,10077.5
test,PK-1198,PSB,PSB,MACHINE PARTS,12.3,12.4,750,9300
test,PK-1199,TG,TG/MOBAROK TRADING,CAR PARTS,9.5,9.5,750,7125
test,PK-1200,TG,TG/MOBAROK TRADING,CAR PARTS,8.5,8.45,750,6337.5
test,PK-1201,DEAR BD,DEAR BD  5021,CHILDREN COOKING SET,5.5,5.2,750,3900
test,PK-1202,RAKIBUL HASSAN,BM CARGO/RAKIBUL NOWABPUR,LIGHT SHEDS,47.5,47,750,35250
test,PK-1203,BM,BM/DAS BY AIR,BOY T SHIRT,46,46.3,950,43985
test,PK-1203B,BM,BM/DAS BY AIR,BOY T SHIRT,32,32.3,950,30685
test,PK-1204,CPEX,CPEX IMRAN,GARTMENT,120,119.3,1080,128844
test,PK-1205,MR TORIKUL,CHINA SHIP 2567,PLASTIC,10,9.9,750,7425
test,PK-1206,CPEX,NIROB ENTERPRISE,HAT,2.5,2.5,780,1950
test,PK-1207,DEAR BD,DEAR BD 4747,TOY BALL,4,4,750,3000
test,PK-1208,DEAR BD,DEAR BD MIX,ONLINE GOODS-7,26,25.75,750,19312.5
test,PK-1209,DEAR BD,DEAR BD MIX,HAIR BAND/FAKE PLANT/MINI BOX SHOES,9,8.95,750,6712.5
test,PK-1210,CPEX,NIROB ENTERPRISE,TOWEL,9,9,780,7020
